n,v,t,tempsCreacio,tempsHit,tempsMiss,tempsConsulta,compsHit,compsMiss,compsConsulta,tempsComp,tempsHash,tempsHash2,tempsHash3,aciertos,fallos
100,2,2,0.000016,0.00000075,0.00000075,0.00000075,0.000000615,0.000000615,0.000000615,0.000000205,0.00000016,0.0000002,0.000000185,190,10
100,2,2,0.000016,0.00000085,0.00000085,0.00000085,0.00000093,0.00000093,0.00000093,0.00000031,0.000000165,0.000000185,0.00000019,193,7
100,2,2,0.000016,0.00000086,0.00000086,0.00000086,0.000000675,0.000000675,0.000000675,0.000000225,0.00000024,0.000000205,0.00000019,199,1
100,2,2,0.000013,0.000000795,0.000000795,0.000000795,0.000000705,0.000000705,0.000000705,0.000000235,0.0000002,0.000000185,0.000000175,200,0
100,3,3,0.000012,7.53333E-007,7.53333E-007,7.53333E-007,0.00000065,0.00000065,0.00000065,2.16667E-007,1.63333E-007,0.00000019,1.83333E-007,283,17
100,3,3,0.000019,0.00000094,0.00000094,0.00000094,0.00000092,0.00000092,0.00000092,3.06667E-007,2.06667E-007,2.13333E-007,2.13333E-007,290,10
100,3,3,0.000016,0.00000087,0.00000087,0.00000087,0.00000065,0.00000065,0.00000065,2.16667E-007,0.00000019,2.83333E-007,0.00000018,298,2
100,3,3,0.000015,1.06333E-006,1.06333E-006,1.06333E-006,0.00000076,0.00000076,0.00000076,2.53333E-007,2.53333E-007,1.93333E-007,3.63333E-007,300,0
100,4,4,0.00006,1.0775E-006,1.0775E-006,1.0775E-006,9.375E-007,9.375E-007,9.375E-007,3.125E-007,2.075E-007,2.725E-007,0.000000285,379,21
100,4,4,0.000016,0.000000855,0.000000855,0.000000855,0.00000066,0.00000066,0.00000066,0.00000022,1.725E-007,2.875E-007,0.000000175,388,12
100,4,4,0.000071,0.0000009,0.0000009,0.0000009,1.0125E-006,1.0125E-006,1.0125E-006,3.375E-007,1.925E-007,1.875E-007,1.825E-007,397,3
100,4,4,0.000015,0.00000136,0.00000136,0.00000136,0.000001155,0.000001155,0.000001155,0.000000385,0.00000028,0.000000385,0.00000031,400,0
1000,2,2,0.000129,0.000000811,0.000000811,0.000000811,0.00000069,0.00000069,0.00000069,0.00000023,0.000000173,0.000000198,0.00000021,1708,292
1000,2,2,0.000128,0.000001117,0.000001117,0.000001117,9.795E-007,9.795E-007,9.795E-007,3.265E-007,2.605E-007,2.525E-007,2.775E-007,1829,171
1000,2,2,0.000103,1.0075E-006,1.0075E-006,1.0075E-006,7.995E-007,7.995E-007,7.995E-007,2.665E-007,0.000000212,0.000000269,0.00000026,1940,60
1000,2,2,0.000141,0.000001234,0.000001234,0.000001234,0.000001275,0.000001275,0.000001275,0.000000425,0.000000243,0.000000319,0.000000247,2000,0
1000,3,3,0.000152,0.000008199,0.000008199,0.000008199,0.000000823,0.000000823,0.000000823,2.74333E-007,7.52433E-006,1.96667E-007,2.03667E-007,2675,325
1000,3,3,0.000133,8.68333E-007,8.68333E-007,8.68333E-007,0.000000764,0.000000764,0.000000764,2.54667E-007,2.05333E-007,0.000000204,2.04333E-007,2810,190
1000,3,3,0.000173,1.28267E-006,1.28267E-006,1.28267E-006,0.000001197,0.000001197,0.000001197,0.000000399,2.38667E-007,0.000000366,0.000000279,2948,52
1000,3,3,0.00015,1.28933E-006,1.28933E-006,1.28933E-006,0.000001125,0.000001125,0.000001125,0.000000375,3.08333E-007,0.000000301,0.000000305,3000,0
1000,4,4,0.000154,0.000000808,0.000000808,0.000000808,7.3725E-007,7.3725E-007,7.3725E-007,2.4575E-007,1.855E-007,1.8625E-007,1.905E-007,3621,379
1000,4,4,0.000103,0.000000863,0.000000863,0.000000863,7.5825E-007,7.5825E-007,7.5825E-007,2.5275E-007,1.9625E-007,2.1375E-007,2.0025E-007,3786,214
1000,4,4,0.000104,8.9025E-007,8.9025E-007,8.9025E-007,8.295E-007,8.295E-007,8.295E-007,2.765E-007,2.0575E-007,2.045E-007,2.035E-007,3929,71
1000,4,4,0.000148,0.000001277,0.000001277,0.000001277,1.0785E-006,1.0785E-006,1.0785E-006,3.595E-007,3.9325E-007,0.000000262,2.6225E-007,4000,0
10000,2,2,0.001048,1.1668E-006,1.1668E-006,1.1668E-006,7.8045E-007,7.8045E-007,7.8045E-007,2.6015E-007,1.986E-007,2.011E-007,0.000000507,16179,3821
10000,2,2,0.001753,1.87045E-006,1.87045E-006,1.87045E-006,1.75935E-006,1.75935E-006,1.75935E-006,5.8645E-007,4.6845E-007,3.969E-007,4.1865E-007,17726,2274
10000,2,2,0.001416,9.1975E-007,9.1975E-007,9.1975E-007,8.2755E-007,8.2755E-007,8.2755E-007,2.7585E-007,2.1315E-007,2.0725E-007,2.235E-007,19228,772
10000,2,2,0.00111,8.6445E-007,8.6445E-007,8.6445E-007,7.7385E-007,7.7385E-007,7.7385E-007,0.000000258,1.953E-007,2.035E-007,2.077E-007,20000,0
10000,3,3,0.001039,1.00773E-006,1.00773E-006,1.00773E-006,8.944E-007,8.944E-007,8.944E-007,2.98133E-007,2.28533E-007,2.388E-007,2.42267E-007,25923,4077
10000,3,3,0.001108,1.20143E-006,1.20143E-006,1.20143E-006,1.0745E-006,1.0745E-006,1.0745E-006,3.58167E-007,2.734E-007,2.863E-007,2.83567E-007,27558,2442
10000,3,3,0.001303,1.0173E-006,1.0173E-006,1.0173E-006,9.246E-007,9.246E-007,9.246E-007,3.082E-007,2.26533E-007,2.435E-007,2.39067E-007,29142,858
10000,3,3,0.04708,1.24783E-006,1.24783E-006,1.24783E-006,9.633E-007,9.633E-007,9.633E-007,3.211E-007,2.30467E-007,3.80233E-007,0.000000316,30000,0
