n,v,t,tempsCreacio,tempsHit,tempsMiss,tempsConsulta,compsHit,compsMiss,compsConsulta
100,2,50,0.000024,4.55556E-007,0.000001,0.000000755,5.77778,6.8,6.34
100,2,70,0.000016,4.25197E-007,0.000000411,0.00000042,5.68504,6.79452,6.09
100,2,90,0.000016,4.38596E-007,4.82759E-007,0.000000445,5.61404,6.72414,5.775
100,2,100,0.000016,0.000000585,0,0.000000585,5.645,0,5.645
100,3,50,0.000017,4.2963E-007,4.30303E-007,0.00000043,5.66667,6.75152,6.26333
100,3,70,0.000016,3.76884E-007,2.77228E-007,3.43333E-007,5.64824,6.78218,6.03
100,3,90,0.000013,2.81369E-007,1.89189E-007,0.00000027,5.68441,6.78378,5.82
100,3,100,0.000013,3.86667E-007,0,3.86667E-007,5.75667,0,5.75667
100,4,50,0.000024,2.73224E-007,3.04147E-007,0.00000029,5.61749,6.76959,6.2425
100,4,70,0.000013,4.0293E-007,3.38583E-007,3.825E-007,5.69963,6.7874,6.045
100,4,90,0.000014,0.000000264,2.27273E-007,0.00000026,5.80337,6.79545,5.9125
100,4,100,0.000058,2.775E-007,0,2.775E-007,5.79,0,5.79
1000,2,50,0.000182,0.000000374,3.32677E-007,0.000000353,8.94106,9.9872,9.4725
1000,2,70,0.000163,7.10843E-007,5.68761E-007,0.000000669,8.96456,9.98812,9.266
1000,2,90,0.000163,0.000000319,3.9267E-007,0.000000326,8.97678,9.97382,9.072
1000,2,100,0.000179,4.085E-007,0,4.085E-007,8.973,0,8.973
1000,3,50,0.000163,3.36863E-007,0.000000319,0.000000328,8.95698,9.98657,9.468
1000,3,70,0.000201,3.65331E-007,3.38407E-007,3.57667E-007,8.9767,9.98829,9.26467
1000,3,90,0.00028,3.7523E-007,4.91289E-007,3.86333E-007,8.98452,9.97561,9.07933
1000,3,100,0.000214,0.000000512,0,0.000000512,8.991,0,8.991
1000,4,50,0.000163,4.45652E-007,0.000000499,0.000000472,8.97431,9.98836,9.47525
1000,4,70,0.000215,0.000000515,5.00876E-007,0.000000511,8.98775,9.98599,9.27275
1000,4,90,0.000163,3.68655E-007,4.88608E-007,3.805E-007,8.99029,9.98228,9.08825
1000,4,100,0.000218,0.000000536,0,0.000000536,8.983,0,8.983
10000,2,50,0.002761,4.76756E-007,5.22654E-007,4.9965E-007,12.3765,13.3508,12.8625
10000,2,70,0.00217,3.9252E-007,4.22745E-007,4.0145E-007,12.378,13.3495,12.6651
10000,2,90,0.002126,4.37483E-007,4.947E-007,4.4315E-007,12.38,13.3523,12.4763
10000,2,100,0.002129,4.4515E-007,0,4.4515E-007,12.3814,0,12.3814
10000,3,50,0.002263,5.27715E-007,4.75466E-007,5.01733E-007,12.379,13.3576,12.8656
10000,3,70,0.00222,4.59109E-007,4.94559E-007,4.69533E-007,12.379,13.3467,12.6636
10000,3,90,0.002247,5.60367E-007,5.37369E-007,5.581E-007,12.3756,13.3541,12.472
10000,3,100,0.003205,5.13067E-007,0,5.13067E-007,12.3764,0,12.3764
10000,4,50,0.002732,5.95328E-007,0.000001402,9.95375E-007,12.3811,13.3585,12.8658
