n,v,t,tempsCreacio,tempsConsulta,compsConsulta
tempsCreacio,tempsHit,tempsMiss,tempsConsulta,compsHit,compsMiss,compsConsulta
0.000153,7.44444e-07,7.81818e-07,7.65e-07,5.77778,6.8,6.34
0.000156,7.79528e-07,7.26027e-07,7.6e-07,5.68504,6.79452,6.09
0.000153,7.30994e-07,7.58621e-07,7.35e-07,5.61404,6.72414,5.775
0.000154,7.6e-07,0,7.6e-07,5.645,0,5.645
0.000158,7.48148e-07,7.81818e-07,7.66667e-07,5.66667,6.75152,6.26333
0.000154,7.33668e-07,7.72277e-07,7.46667e-07,5.64824,6.78218,6.03
0.000154,7.45247e-07,8.37838e-07,7.56667e-07,5.68441,6.78378,5.82
0.000151,7.63333e-07,0,7.63333e-07,5.75667,0,5.75667
0.000153,7.75956e-07,7.78802e-07,7.775e-07,5.61749,6.76959,6.2425
0.000155,7.61905e-07,7.71654e-07,7.65e-07,5.69963,6.7874,6.045
0.00016,7.5e-07,7.72727e-07,7.525e-07,5.80337,6.79545,5.9125
0.000155,7.375e-07,0,7.375e-07,5.79,0,5.79
0.001342,8.11992e-07,8.53346e-07,8.33e-07,8.94106,9.9872,9.4725
0.001285,8.13607e-07,8.42105e-07,8.22e-07,8.96456,9.98812,9.266
0.001287,8.29187e-07,8.48168e-07,8.31e-07,8.97678,9.97382,9.072
0.001281,8.135e-07,0,8.135e-07,8.973,0,8.973
0.001286,8.1403e-07,8.46877e-07,8.30333e-07,8.95698,9.98657,9.468
0.001293,8.42498e-07,8.58314e-07,8.47e-07,8.9767,9.98829,9.26467
0.001316,8.17177e-07,8.53659e-07,8.20667e-07,8.98452,9.97561,9.07933
0.001288,8.24e-07,0,8.24e-07,8.991,0,8.991
0.001292,8.07806e-07,8.63866e-07,8.355e-07,8.97431,9.98836,9.47525
0.001283,8.13856e-07,8.98424e-07,8.38e-07,8.98775,9.98599,9.27275
0.001277,8.09709e-07,8.55696e-07,8.1425e-07,8.99029,9.98228,9.08825
0.001275,8.12e-07,0,8.12e-07,8.983,0,8.983
0.012878,9.0822e-07,9.46872e-07,9.275e-07,12.3765,13.3508,12.8625
0.012817,9.08949e-07,9.42291e-07,9.188e-07,12.378,13.3495,12.6651
0.012869,9.05267e-07,9.47501e-07,9.0945e-07,12.38,13.3523,12.4763
0.012894,9.103e-07,0,9.103e-07,12.3814,0,12.3814
0.012738,9.08368e-07,9.46977e-07,9.27567e-07,12.379,13.3576,12.8656
0.012841,9.06129e-07,9.45704e-07,9.17767e-07,12.379,13.3467,12.6636
0.012835,9.06186e-07,9.51302e-07,9.10633e-07,12.3756,13.3541,12.472
0.012818,9.10633e-07,0,9.10633e-07,12.3764,0,12.3764
0.012826,9.09533e-07,9.48936e-07,9.29075e-07,12.3811,13.3585,12.8658
0.012865,9.06484e-07,9.50216e-07,9.19375e-07,12.3754,13.3527,12.6635
0.01463,9.02795e-07,9.5117e-07,9.0755e-07,12.3776,13.353,12.4734
0.012868,9.07325e-07,0,9.07325e-07,12.3758,0,12.3758
0.127662,1.0173e-06,1.05842e-06,1.03783e-06,15.6862,16.6876,16.1861
0.127198,1.0039e-06,1.0484e-06,1.01716e-06,15.6873,16.6891,15.9857
0.127194,1.00366e-06,1.05208e-06,1.0085e-06,15.6866,16.6913,15.7869
0.12794,1.00363e-06,0,1.00363e-06,15.6866,0,15.6866
0.127823,1.00605e-06,1.04703e-06,1.02652e-06,15.688,16.6875,16.1873
0.127186,1.00205e-06,1.04674e-06,1.01539e-06,15.6858,16.6873,15.9847
0.128058,1.00028e-06,1.04773e-06,1.00501e-06,15.6876,16.6883,15.7874
0.128234,1.00241e-06,0,1.00241e-06,15.6887,0,15.6887
0.126928,1.00867e-06,1.04998e-06,1.02929e-06,15.6867,16.6874,16.1861
0.128035,1.00329e-06,1.04685e-06,1.0163e-06,15.6875,16.6878,15.9863
0.127707,1.00533e-06,1.05496e-06,1.01028e-06,15.6887,16.6898,15.7887
0.127238,1.0006e-06,0,1.0006e-06,15.6887,0,15.6887
1.33895,1.21699e-06,1.27214e-06,1.24455e-06,18.9537,19.9517,19.4523
1.33969,1.19486e-06,1.25076e-06,1.21163e-06,18.9536,19.9516,19.253
1.32973,1.20492e-06,1.26822e-06,1.21126e-06,18.9539,19.951,19.0538
1.33641,1.19986e-06,0,1.19986e-06,18.9539,0,18.9539
1.33519,1.20194e-06,1.25535e-06,1.22861e-06,18.9539,19.9516,19.452
1.35222,1.20399e-06,1.25868e-06,1.22038e-06,18.9535,19.9518,19.2527
1.33789,1.20199e-06,1.26337e-06,1.20814e-06,18.953,19.9517,19.053
1.33049,1.19725e-06,0,1.19725e-06,18.9527,0,18.9527
1.34037,1.20223e-06,1.25471e-06,1.22844e-06,18.9539,19.9515,19.4521
1.33511,1.20677e-06,1.26279e-06,1.22356e-06,18.9529,19.9516,19.2522
1.33794,1.20207e-06,1.26116e-06,1.20798e-06,18.9526,19.9517,19.0525
1.32957,1.2208e-06,0,1.2208e-06,18.9525,0,18.9525
