n,v,t,tempsCreacio,tempsHit,tempsMiss,tempsConsulta,compsHit,compsMiss,compsConsulta
100,2,50,0.0001,4.33333E-007,4.36364E-007,0.000000435,5.77778,6.8,6.34
100,2,70,0.0001,3.85827E-007,5.20548E-007,0.000000435,5.68504,6.79452,6.09
100,2,90,0.000131,4.38596E-007,5.17241E-007,0.00000045,5.61404,6.72414,5.775
100,2,100,0.000099,0.000000495,0,0.000000495,5.645,0,5.645
100,3,50,0.000095,0.0000004,3.75758E-007,3.86667E-007,5.66667,6.75152,6.26333
100,3,70,0.000067,2.76382E-007,3.26733E-007,2.93333E-007,5.64824,6.78218,6.03
100,3,90,0.000064,3.11787E-007,2.43243E-007,3.03333E-007,5.68441,6.78378,5.82
100,3,100,0.000098,2.86667E-007,0,2.86667E-007,5.75667,0,5.75667
100,4,50,0.000077,2.95082E-007,2.81106E-007,2.875E-007,5.61749,6.76959,6.2425
100,4,70,0.000065,3.22344E-007,2.99213E-007,0.000000315,5.69963,6.7874,6.045
100,4,90,0.000063,2.83708E-007,2.72727E-007,2.825E-007,5.80337,6.79545,5.9125
100,4,100,0.000062,0.00000027,0,0.00000027,5.79,0,5.79
1000,2,50,0.00055,3.53659E-007,3.47441E-007,3.505E-007,8.94106,9.9872,9.4725
1000,2,70,0.000878,4.41531E-007,4.9236E-007,4.565E-007,8.96456,9.98812,9.266
1000,2,90,0.000573,3.41072E-007,0.000000356,3.425E-007,8.97678,9.97382,9.072
1000,2,100,0.000577,3.395E-007,0,3.395E-007,8.973,0,8.973
1000,3,50,0.000601,3.44805E-007,3.49899E-007,3.47333E-007,8.95698,9.98657,9.468
1000,3,70,0.000774,3.84436E-007,3.7822E-007,3.82667E-007,8.9767,9.98829,9.26467
1000,3,90,0.000603,4.43421E-007,4.80836E-007,0.000000447,8.98452,9.97561,9.07933
1000,3,100,0.000991,3.98667E-007,0,3.98667E-007,8.991,0,8.991
1000,4,50,0.000761,3.74506E-007,3.78543E-007,3.765E-007,8.97431,9.98836,9.47525
1000,4,70,0.000902,4.85304E-007,6.07706E-007,5.2025E-007,8.98775,9.98599,9.27275
1000,4,90,0.000646,5.33703E-007,4.83544E-007,5.2875E-007,8.99029,9.98228,9.08825
1000,4,100,0.000753,4.5575E-007,0,4.5575E-007,8.983,0,8.983
