tempsCreacio,tempsConsulta,compsConsulta
7.6e-05,5e-08,2.98
7.7e-05,4.5e-08,2.98
7.7e-05,4e-08,2.99
7.7e-05,4e-08,2.99
0.000107,4e-08,2.65333
0.000107,3.66667e-08,2.66
0.000107,3.33333e-08,2.66
0.000106,3e-08,2.66
0.000139,3.25e-08,2.495
0.000139,3.25e-08,2.495
0.00014,3e-08,2.495
0.000137,2.5e-08,2.495
0.001004,4.3e-08,2.999
0.001018,4.15e-08,2.999
0.000995,3.75e-08,2.999
0.000991,3.35e-08,2.999
0.001386,3.93333e-08,2.666
0.001387,3.43333e-08,2.666
0.001372,3.03333e-08,2.666
0.001387,2.73333e-08,2.666
0.001773,3.275e-08,2.4995
0.001788,3.075e-08,2.4995
0.001787,2.75e-08,2.4995
0.001776,2.4e-08,2.4995
0.012502,4.3e-08,2.9999
0.012558,4.11e-08,2.9999
0.012598,3.68e-08,2.9999
0.012607,3.37e-08,2.9999
0.017446,3.62333e-08,2.6666
0.017392,3.42667e-08,2.6666
0.017348,3.03667e-08,2.6666
0.017362,2.72333e-08,2.6666
0.022126,3.2625e-08,2.49995
0.022295,3.0925e-08,2.49995
0.022289,2.7275e-08,2.49995
0.02249,2.4e-08,2.49995
0.150806,4.29698e-08,2.99996
0.150878,4.11248e-08,2.99998
0.152224,3.7065e-08,2.99999
0.151382,3.3225e-08,2.99999
0.206488,3.63399e-08,2.66662
0.207398,3.44432e-08,2.66664
0.207859,3.05666e-08,2.66665
0.208159,2.735e-08,2.66666
0.263529,3.32299e-08,2.49996
0.267864,3.11349e-08,2.49997
0.264928,2.74024e-08,2.49999
0.262849,2.4225e-08,2.5
1.78798,4.303e-08,3
1.7724,4.10535e-08,3
1.78525,3.6925e-08,3
1.78035,3.3355e-08,3
2.41678,3.6354e-08,2.66667
2.42861,3.45277e-08,2.66667
2.42269,3.0593e-08,2.66667
2.44035,2.73123e-08,2.66667
3.08707,3.27507e-08,2.5
3.07746,3.10265e-08,2.5
3.08926,2.74003e-08,2.5
3.08338,2.42595e-08,2.5
