tempsCreacio,tempsConsulta,compsConsulta
0.000429,5e-08,2.98
0.000437,4.5e-08,2.98
0.000433,4e-08,2.99
0.000458,4e-08,2.99
0.000554,4e-08,2.65333
0.000559,3.66667e-08,2.66
0.000556,3.33333e-08,2.66
0.000552,3e-08,2.66
0.000688,3.25e-08,2.495
0.00068,3.25e-08,2.495
0.000685,2.75e-08,2.495
0.000686,2.75e-08,2.495
0.003903,4.3e-08,2.999
0.003846,4.1e-08,2.999
0.003902,3.7e-08,2.999
0.003872,3.35e-08,2.999
0.005191,3.63333e-08,2.666
0.005162,3.46667e-08,2.666
0.005164,3.1e-08,2.666
0.006227,2.73333e-08,2.666
0.006417,3.25e-08,2.4995
0.006491,3.1e-08,2.4995
0.006418,2.725e-08,2.4995
0.006478,2.4e-08,2.4995
0.038423,4.285e-08,2.9999
0.038269,4.09e-08,2.9999
0.038535,3.725e-08,2.9999
0.038519,3.32e-08,2.9999
0.051437,3.62333e-08,2.6666
0.051272,3.42333e-08,2.6666
0.05122,3.05e-08,2.6666
0.05095,2.75333e-08,2.6666
0.064319,3.265e-08,2.49995
0.064244,3.0875e-08,2.49995
0.064041,2.7125e-08,2.49995
0.06417,2.415e-08,2.49995
0.395385,4.52898e-08,2.99996
0.397525,4.11898e-08,2.99998
0.401148,3.694e-08,2.99999
0.397739,3.3285e-08,2.99999
0.531635,3.63599e-08,2.66662
0.529436,3.44866e-08,2.66664
0.53289,3.05899e-08,2.66665
0.53091,2.72967e-08,2.66666
0.665331,3.27924e-08,2.49996
0.67,3.10599e-08,2.49997
0.664644,2.74049e-08,2.49999
0.668511,2.43175e-08,2.5
4.57226,4.3052e-08,3
3.99964,4.10685e-08,3
3.99606,3.69325e-08,3
4.07851,3.3342e-08,3
5.42386,3.63793e-08,2.66667
5.32387,3.44787e-08,2.66667
5.33899,3.0594e-08,2.66667
5.29649,2.73117e-08,2.66667
6.66565,3.27868e-08,2.5
6.74217,3.104e-08,2.5
6.69375,2.74165e-08,2.5
6.72112,2.42633e-08,2.5
